ticket_id,date,time,day_of_week,month,branch_id,branch_name,city,dish,category,unit_price,quantity,total_sale,ingredient_cost,gross_margin,payment_method,tip,total_with_tip,hour,year_month,daypart
TKT-20250609-001-00037,2025-06-09,13:35,Lunes,June,SUC001,Ciudad de México Centro,Ciudad de México,Guacamole con Totopos,Entradas,89,3,267,75,192,App de Pago,26.7,293.7,13,2025-06,Comida
TKT-20260115-008-00038,2026-01-15,15:46,Jueves,January,SUC008,Mérida,Mérida,Agua de Horchata,Bebidas,35,2,70,16,54,Tarjeta de Crédito,0.0,70.0,15,2026-01,Comida
TKT-20250617-009-00039,2025-06-17,12:49,Martes,June,SUC009,Tijuana,Tijuana,Elotes Preparados,Entradas,55,3,165,45,120,Tarjeta de Crédito,16.5,181.5,12,2025-06,Comida
TKT-20250701-007-00040,2025-07-01,13:27,Martes,July,SUC007,Cancún,Cancún,Tacos al Pastor (3 pzas),Platos Fuertes,85,3,255,84,171,App de Pago,38.25,293.25,13,2025-07,Comida
TKT-20250615-001-00041,2025-06-15,19:32,Domingo,June,SUC001,Ciudad de México Centro,Ciudad de México,Fajitas de Pollo,Platos Fuertes,195,1,195,58,137,App de Pago,29.25,224.25,19,2025-06,Tarde
TKT-20250327-001-00042,2025-03-27,12:55,Jueves,March,SUC001,Ciudad de México Centro,Ciudad de México,Refresco,Bebidas,30,2,60,16,44,Efectivo,6.0,66.0,12,2025-03,Comida
TKT-20251225-007-00043,2025-12-25,14:32,Jueves,December,SUC007,Cancún,Cancún,Nachos con Carne,Entradas,125,2,250,80,170,Tarjeta de Crédito,37.5,287.5,14,2025-12,Comida
TKT-20250811-003-00044,2025-08-11,13:48,Lunes,August,SUC003,Guadalajara,Guadalajara,Agua de Horchata,Bebidas,35,2,70,16,54,Tarjeta de Crédito,10.5,80.5,13,2025-08,Comida
TKT-20250201-006-00045,2025-02-01,19:38,Sábado,February,SUC006,Querétaro,Querétaro,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Tarjeta de Crédito,8.5,93.5,19,2025-02,Tarde
TKT-20250330-010-00046,2025-03-30,13:59,Domingo,March,SUC010,León,León,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Débito,8.9,97.9,13,2025-03,Comida
TKT-20250603-005-00047,2025-06-03,19:03,Martes,June,SUC005,Puebla,Puebla,Agua de Horchata,Bebidas,35,2,70,16,54,Tarjeta de Crédito,0.0,70.0,19,2025-06,Tarde
TKT-20250313-003-00048,2025-03-13,19:05,Jueves,March,SUC003,Guadalajara,Guadalajara,Refresco,Bebidas,30,1,30,8,22,Tarjeta de Crédito,0.0,30.0,19,2025-03,Tarde
TKT-20250308-010-00049,2025-03-08,21:48,Sábado,March,SUC010,León,León,Nachos con Carne,Entradas,125,3,375,120,255,Tarjeta de Crédito,0.0,375.0,21,2025-03,Noche
TKT-20250407-004-00050,2025-04-07,20:42,Lunes,April,SUC004,Monterrey,Monterrey,Fajitas de Res,Platos Fuertes,225,4,900,280,620,App de Pago,180.0,1080.0,20,2025-04,Tarde
TKT-20250426-004-00051,2025-04-26,13:16,Sábado,April,SUC004,Monterrey,Monterrey,Quesadilla de Flor de Calabaza,Platos Fuertes,95,3,285,84,201,Tarjeta de Crédito,28.5,313.5,13,2025-04,Comida
TKT-20250905-010-00052,2025-09-05,14:13,Viernes,September,SUC010,León,León,Cerveza Nacional,Bebidas,55,2,110,40,70,Tarjeta de Crédito,0.0,110.0,14,2025-09,Comida
TKT-20260120-010-00053,2026-01-20,15:12,Martes,January,SUC010,León,León,Pozole Rojo,Platos Fuertes,125,1,125,38,87,Tarjeta de Crédito,18.75,143.75,15,2026-01,Comida
TKT-20260110-007-00054,2026-01-10,20:41,Sábado,January,SUC007,Cancún,Cancún,Agua de Horchata,Bebidas,35,2,70,16,54,Tarjeta de Crédito,7.0,77.0,20,2026-01,Tarde
TKT-20250920-008-00055,2025-09-20,20:07,Sábado,September,SUC008,Mérida,Mérida,Tacos al Pastor (3 pzas),Platos Fuertes,85,3,255,84,171,App de Pago,25.5,280.5,20,2025-09,Tarde
TKT-20250724-008-00056,2025-07-24,14:01,Jueves,July,SUC008,Mérida,Mérida,Tacos de Barbacoa (3 pzas),Platos Fuertes,95,2,190,70,120,Tarjeta de Débito,19.0,209.0,14,2025-07,Comida
TKT-20251129-004-00057,2025-11-29,21:14,Sábado,November,SUC004,Monterrey,Monterrey,Mole Poblano,Platos Fuertes,175,1,175,55,120,Efectivo,26.25,201.25,21,2025-11,Noche
TKT-20251221-005-00058,2025-12-21,11:03,Domingo,December,SUC005,Puebla,Puebla,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Efectivo,8.5,93.5,11,2025-12,Mañana
TKT-20250720-001-00059,2025-07-20,11:04,Domingo,July,SUC001,Ciudad de México Centro,Ciudad de México,Enchiladas Verdes,Platos Fuertes,135,2,270,80,190,Tarjeta de Crédito,0.0,270.0,11,2025-07,Mañana
TKT-20260109-008-00060,2026-01-09,14:31,Viernes,January,SUC008,Mérida,Mérida,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Tarjeta de Crédito,0.0,135.0,14,2026-01,Comida
TKT-20251120-006-00061,2025-11-20,12:36,Jueves,November,SUC006,Querétaro,Querétaro,Michelada,Bebidas,75,1,75,25,50,Tarjeta de Crédito,11.25,86.25,12,2025-11,Comida
TKT-20251001-005-00062,2025-10-01,21:51,Miércoles,October,SUC005,Puebla,Puebla,Elotes Preparados,Entradas,55,1,55,15,40,Tarjeta de Débito,0.0,55.0,21,2025-10,Noche
TKT-20250322-001-00063,2025-03-22,14:42,Sábado,March,SUC001,Ciudad de México Centro,Ciudad de México,Cochinita Pibil,Platos Fuertes,165,1,165,50,115,App de Pago,33.0,198.0,14,2025-03,Comida
TKT-20250830-004-00064,2025-08-30,19:29,Sábado,August,SUC004,Monterrey,Monterrey,Queso Fundido,Entradas,95,1,95,30,65,Tarjeta de Crédito,9.5,104.5,19,2025-08,Tarde
TKT-20260111-007-00065,2026-01-11,15:41,Domingo,January,SUC007,Cancún,Cancún,Elotes Preparados,Entradas,55,2,110,30,80,Tarjeta de Crédito,22.0,132.0,15,2026-01,Comida
TKT-20250304-006-00066,2025-03-04,19:25,Martes,March,SUC006,Querétaro,Querétaro,Michelada,Bebidas,75,2,150,50,100,Tarjeta de Crédito,0.0,150.0,19,2025-03,Tarde
TKT-20250328-008-00067,2025-03-28,13:15,Viernes,March,SUC008,Mérida,Mérida,Agua de Horchata,Bebidas,35,1,35,8,27,Efectivo,0.0,35.0,13,2025-03,Comida
TKT-20250918-009-00068,2025-09-18,12:08,Jueves,September,SUC009,Tijuana,Tijuana,Enchiladas Verdes,Platos Fuertes,135,2,270,80,190,Tarjeta de Crédito,0.0,270.0,12,2025-09,Comida
TKT-20250925-005-00069,2025-09-25,14:15,Jueves,September,SUC005,Puebla,Puebla,Sopa de Tortilla,Entradas,75,1,75,20,55,Tarjeta de Crédito,0.0,75.0,14,2025-09,Comida
TKT-20250915-007-00070,2025-09-15,15:51,Lunes,September,SUC007,Cancún,Cancún,Fajitas de Res,Platos Fuertes,225,1,225,70,155,Tarjeta de Crédito,33.75,258.75,15,2025-09,Comida
TKT-20250323-009-00071,2025-03-23,15:03,Domingo,March,SUC009,Tijuana,Tijuana,Fajitas de Res,Platos Fuertes,225,2,450,140,310,Efectivo,0.0,450.0,15,2025-03,Comida
TKT-20250208-001-00072,2025-02-08,19:05,Sábado,February,SUC001,Ciudad de México Centro,Ciudad de México,Churros con Chocolate,Postres,65,2,130,36,94,App de Pago,19.5,149.5,19,2025-02,Tarde
TKT-20250602-007-00073,2025-06-02,13:10,Lunes,June,SUC007,Cancún,Cancún,Carnitas Michoacanas,Platos Fuertes,175,1,175,55,120,Tarjeta de Crédito,35.0,210.0,13,2025-06,Comida
TKT-20250521-010-00074,2025-05-21,13:55,Miércoles,May,SUC010,León,León,Queso Fundido,Entradas,95,3,285,90,195,Efectivo,0.0,285.0,13,2025-05,Comida
TKT-20250426-001-00075,2025-04-26,12:24,Sábado,April,SUC001,Ciudad de México Centro,Ciudad de México,Margarita,Bebidas,95,1,95,25,70,Tarjeta de Débito,0.0,95.0,12,2025-04,Comida
TKT-20250616-009-00076,2025-06-16,13:59,Lunes,June,SUC009,Tijuana,Tijuana,Birria de Res,Platos Fuertes,185,1,185,60,125,Tarjeta de Débito,18.5,203.5,13,2025-06,Comida
TKT-20250627-007-00077,2025-06-27,12:27,Viernes,June,SUC007,Cancún,Cancún,Margarita,Bebidas,95,2,190,50,140,App de Pago,28.5,218.5,12,2025-06,Comida
TKT-20251112-003-00078,2025-11-12,19:42,Miércoles,November,SUC003,Guadalajara,Guadalajara,Nachos con Carne,Entradas,125,1,125,40,85,Tarjeta de Débito,18.75,143.75,19,2025-11,Tarde
TKT-20250509-004-00079,2025-05-09,21:18,Viernes,May,SUC004,Monterrey,Monterrey,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Tarjeta de Débito,8.5,93.5,21,2025-05,Noche
TKT-20251124-009-00080,2025-11-24,20:47,Lunes,November,SUC009,Tijuana,Tijuana,Margarita,Bebidas,95,1,95,25,70,Tarjeta de Débito,14.25,109.25,20,2025-11,Tarde
TKT-20250711-009-00081,2025-07-11,12:03,Viernes,July,SUC009,Tijuana,Tijuana,Margarita,Bebidas,95,1,95,25,70,Tarjeta de Débito,9.5,104.5,12,2025-07,Comida
TKT-20251016-004-00082,2025-10-16,20:58,Jueves,October,SUC004,Monterrey,Monterrey,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,App de Pago,0.0,85.0,20,2025-10,Tarde
TKT-20250302-010-00083,2025-03-02,13:32,Domingo,March,SUC010,León,León,Enchiladas Verdes,Platos Fuertes,135,4,540,160,380,Tarjeta de Crédito,54.0,594.0,13,2025-03,Comida
TKT-20250308-003-00084,2025-03-08,14:38,Sábado,March,SUC003,Guadalajara,Guadalajara,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Tarjeta de Débito,20.25,155.25,14,2025-03,Comida
TKT-20250826-008-00085,2025-08-26,19:07,Martes,August,SUC008,Mérida,Mérida,Burrito Grande,Platos Fuertes,145,1,145,42,103,Tarjeta de Crédito,0.0,145.0,19,2025-08,Tarde
TKT-20250607-004-00086,2025-06-07,15:37,Sábado,June,SUC004,Monterrey,Monterrey,Quesadilla de Flor de Calabaza,Platos Fuertes,95,3,285,84,201,Tarjeta de Crédito,0.0,285.0,15,2025-06,Comida
TKT-20250314-008-00087,2025-03-14,12:26,Viernes,March,SUC008,Mérida,Mérida,Burrito Grande,Platos Fuertes,145,2,290,84,206,Efectivo,0.0,290.0,12,2025-03,Comida
TKT-20251026-001-00088,2025-10-26,20:20,Domingo,October,SUC001,Ciudad de México Centro,Ciudad de México,Tacos de Carnitas (3 pzas),Platos Fuertes,90,2,180,60,120,Tarjeta de Débito,0.0,180.0,20,2025-10,Tarde
TKT-20260109-010-00089,2026-01-09,12:45,Viernes,January,SUC010,León,León,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Crédito,13.35,102.35,12,2026-01,Comida
TKT-20250822-010-00090,2025-08-22,21:08,Viernes,August,SUC010,León,León,Enchiladas Rojas,Platos Fuertes,135,2,270,80,190,Tarjeta de Crédito,0.0,270.0,21,2025-08,Noche
TKT-20250923-006-00091,2025-09-23,19:20,Martes,September,SUC006,Querétaro,Querétaro,Pastel de Tres Leches,Postres,75,1,75,22,53,App de Pago,0.0,75.0,19,2025-09,Tarde
TKT-20250310-001-00092,2025-03-10,14:00,Lunes,March,SUC001,Ciudad de México Centro,Ciudad de México,Burrito Grande,Platos Fuertes,145,1,145,42,103,Efectivo,0.0,145.0,14,2025-03,Comida
TKT-20250324-007-00093,2025-03-24,12:04,Lunes,March,SUC007,Cancún,Cancún,Fajitas de Pollo,Platos Fuertes,195,2,390,116,274,Tarjeta de Crédito,78.0,468.0,12,2025-03,Comida
TKT-20250616-003-00094,2025-06-16,13:08,Lunes,June,SUC003,Guadalajara,Guadalajara,Flan Napolitano,Postres,55,3,165,45,120,Efectivo,33.0,198.0,13,2025-06,Comida
TKT-20250308-010-00095,2025-03-08,11:56,Sábado,March,SUC010,León,León,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Débito,8.9,97.9,11,2025-03,Mañana
TKT-20250422-001-00096,2025-04-22,21:28,Martes,April,SUC001,Ciudad de México Centro,Ciudad de México,Agua de Tamarindo,Bebidas,35,2,70,16,54,App de Pago,10.5,80.5,21,2025-04,Noche
TKT-20250705-007-00097,2025-07-05,19:39,Sábado,July,SUC007,Cancún,Cancún,Michelada,Bebidas,75,1,75,25,50,Tarjeta de Débito,11.25,86.25,19,2025-07,Tarde
TKT-20260101-001-00098,2026-01-01,20:33,Jueves,January,SUC001,Ciudad de México Centro,Ciudad de México,Agua de Horchata,Bebidas,35,1,35,8,27,App de Pago,7.0,42.0,20,2026-01,Tarde
TKT-20250704-006-00099,2025-07-04,14:59,Viernes,July,SUC006,Querétaro,Querétaro,Helado de Vainilla,Postres,45,1,45,12,33,Efectivo,4.5,49.5,14,2025-07,Comida
TKT-20250410-006-00100,2025-04-10,13:16,Jueves,April,SUC006,Querétaro,Querétaro,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,App de Pago,17.0,102.0,13,2025-04,Comida
TKT-20251111-006-00101,2025-11-11,15:09,Martes,November,SUC006,Querétaro,Querétaro,Agua de Horchata,Bebidas,35,1,35,8,27,Tarjeta de Débito,5.25,40.25,15,2025-11,Comida
TKT-20250519-009-00102,2025-05-19,13:45,Lunes,May,SUC009,Tijuana,Tijuana,Mole Poblano,Platos Fuertes,175,2,350,110,240,App de Pago,52.5,402.5,13,2025-05,Comida
TKT-20251222-004-00103,2025-12-22,15:54,Lunes,December,SUC004,Monterrey,Monterrey,Margarita,Bebidas,95,3,285,75,210,App de Pago,0.0,285.0,15,2025-12,Comida
TKT-20250609-004-00104,2025-06-09,12:57,Lunes,June,SUC004,Monterrey,Monterrey,Queso Fundido,Entradas,95,2,190,60,130,App de Pago,19.0,209.0,12,2025-06,Comida
TKT-20250320-004-00105,2025-03-20,14:40,Jueves,March,SUC004,Monterrey,Monterrey,Enchiladas Verdes,Platos Fuertes,135,4,540,160,380,Tarjeta de Débito,108.0,648.0,14,2025-03,Comida
TKT-20250223-004-00106,2025-02-23,14:00,Domingo,February,SUC004,Monterrey,Monterrey,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Efectivo,27.0,162.0,14,2025-02,Comida
TKT-20251224-010-00107,2025-12-24,19:16,Miércoles,December,SUC010,León,León,Margarita,Bebidas,95,4,380,100,280,Tarjeta de Crédito,38.0,418.0,19,2025-12,Tarde
TKT-20251110-009-00108,2025-11-10,21:45,Lunes,November,SUC009,Tijuana,Tijuana,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Crédito,0.0,89.0,21,2025-11,Noche
TKT-20250330-006-00109,2025-03-30,22:04,Domingo,March,SUC006,Querétaro,Querétaro,Agua de Tamarindo,Bebidas,35,1,35,8,27,Tarjeta de Débito,5.25,40.25,22,2025-03,Noche
TKT-20250418-001-00110,2025-04-18,13:34,Viernes,April,SUC001,Ciudad de México Centro,Ciudad de México,Guacamole con Totopos,Entradas,89,2,178,50,128,Tarjeta de Crédito,26.7,204.7,13,2025-04,Comida
TKT-20251126-009-00111,2025-11-26,14:35,Miércoles,November,SUC009,Tijuana,Tijuana,Enchiladas Verdes,Platos Fuertes,135,2,270,80,190,Tarjeta de Crédito,40.5,310.5,14,2025-11,Comida
TKT-20250222-002-00112,2025-02-22,14:19,Sábado,February,SUC002,Ciudad de México Sur,Ciudad de México,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Tarjeta de Débito,12.75,97.75,14,2025-02,Comida
TKT-20250803-002-00113,2025-08-03,20:13,Domingo,August,SUC002,Ciudad de México Sur,Ciudad de México,Agua de Jamaica,Bebidas,35,1,35,7,28,Efectivo,3.5,38.5,20,2025-08,Tarde
TKT-20250325-004-00114,2025-03-25,14:22,Martes,March,SUC004,Monterrey,Monterrey,Flan Napolitano,Postres,55,1,55,15,40,App de Pago,5.5,60.5,14,2025-03,Comida
TKT-20250828-008-00115,2025-08-28,14:39,Jueves,August,SUC008,Mérida,Mérida,Pastel de Tres Leches,Postres,75,1,75,22,53,Tarjeta de Crédito,11.25,86.25,14,2025-08,Comida
TKT-20250602-002-00116,2025-06-02,21:55,Lunes,June,SUC002,Ciudad de México Sur,Ciudad de México,Enchiladas Verdes,Platos Fuertes,135,3,405,120,285,Tarjeta de Crédito,40.5,445.5,21,2025-06,Noche
TKT-20250831-010-00117,2025-08-31,14:01,Domingo,August,SUC010,León,León,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Crédito,8.9,97.9,14,2025-08,Comida
TKT-20250830-001-00118,2025-08-30,13:51,Sábado,August,SUC001,Ciudad de México Centro,Ciudad de México,Margarita,Bebidas,95,1,95,25,70,Efectivo,9.5,104.5,13,2025-08,Comida
TKT-20250608-007-00119,2025-06-08,12:17,Domingo,June,SUC007,Cancún,Cancún,Mole Poblano,Platos Fuertes,175,1,175,55,120,Tarjeta de Crédito,35.0,210.0,12,2025-06,Comida
TKT-20250328-007-00120,2025-03-28,14:24,Viernes,March,SUC007,Cancún,Cancún,Churros con Chocolate,Postres,65,1,65,18,47,Tarjeta de Crédito,0.0,65.0,14,2025-03,Comida
TKT-20250929-003-00121,2025-09-29,13:14,Lunes,September,SUC003,Guadalajara,Guadalajara,Margarita,Bebidas,95,1,95,25,70,Efectivo,0.0,95.0,13,2025-09,Comida
TKT-20250730-002-00122,2025-07-30,14:19,Miércoles,July,SUC002,Ciudad de México Sur,Ciudad de México,Churros con Chocolate,Postres,65,1,65,18,47,Tarjeta de Crédito,9.75,74.75,14,2025-07,Comida
TKT-20250528-008-00123,2025-05-28,12:14,Miércoles,May,SUC008,Mérida,Mérida,Enchiladas Verdes,Platos Fuertes,135,2,270,80,190,Efectivo,40.5,310.5,12,2025-05,Comida
TKT-20250824-001-00124,2025-08-24,21:21,Domingo,August,SUC001,Ciudad de México Centro,Ciudad de México,Tacos al Pastor (3 pzas),Platos Fuertes,85,1,85,28,57,Tarjeta de Débito,12.75,97.75,21,2025-08,Noche
TKT-20250623-002-00125,2025-06-23,13:22,Lunes,June,SUC002,Ciudad de México Sur,Ciudad de México,Pozole Rojo,Platos Fuertes,125,1,125,38,87,Tarjeta de Crédito,18.75,143.75,13,2025-06,Comida
TKT-20260114-005-00126,2026-01-14,13:53,Miércoles,January,SUC005,Puebla,Puebla,Helado de Vainilla,Postres,45,2,90,24,66,Efectivo,0.0,90.0,13,2026-01,Comida
TKT-20250215-009-00127,2025-02-15,20:07,Sábado,February,SUC009,Tijuana,Tijuana,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Tarjeta de Crédito,0.0,135.0,20,2025-02,Tarde
TKT-20250503-006-00128,2025-05-03,14:37,Sábado,May,SUC006,Querétaro,Querétaro,Enchiladas Verdes,Platos Fuertes,135,1,135,40,95,Efectivo,13.5,148.5,14,2025-05,Comida
TKT-20250220-003-00129,2025-02-20,12:06,Jueves,February,SUC003,Guadalajara,Guadalajara,Chiles Rellenos,Platos Fuertes,155,1,155,45,110,Tarjeta de Crédito,0.0,155.0,12,2025-02,Comida
TKT-20250711-006-00130,2025-07-11,20:27,Viernes,July,SUC006,Querétaro,Querétaro,Fajitas de Pollo,Platos Fuertes,195,2,390,116,274,Tarjeta de Débito,39.0,429.0,20,2025-07,Tarde
TKT-20250401-006-00131,2025-04-01,12:24,Martes,April,SUC006,Querétaro,Querétaro,Tacos de Carnitas (3 pzas),Platos Fuertes,90,2,180,60,120,Tarjeta de Débito,18.0,198.0,12,2025-04,Comida
TKT-20250611-003-00132,2025-06-11,12:02,Miércoles,June,SUC003,Guadalajara,Guadalajara,Guacamole con Totopos,Entradas,89,1,89,25,64,Tarjeta de Crédito,8.9,97.9,12,2025-06,Comida
