record_id,date,month,day_of_week,branch_id,branch_name,city,platform,interaction_type,content,sentiment,rating,reach,engagement,engagement_rate,campaign,campaign_cost,responded,response_hours,conversion,year_month
DIG-00073,2025-05-20,May,Martes,SUC002,Ciudad de México Sur,Ciudad de México,Google Reviews,Review,Las margaritas son las mejores 🍹,positivo,5.0,232.0,27.0,11.64,Orgánico,0.0,,,False,2025-05
DIG-00074,2025-04-17,April,Jueves,SUC005,Puebla,Puebla,Facebook,Review,Ambiente perfecto para celebrar,positivo,4.0,4577.0,186.0,4.06,Temporada de Pozole,375.58,,,True,2025-04
DIG-00075,2025-02-21,February,Viernes,SUC008,Mérida,Mérida,Twitter/X,Mención,Esperaba mejor calidad,negativo,,226.0,9.0,3.98,Temporada de Pozole,381.05,,,False,2025-02
DIG-00076,2025-11-24,November,Lunes,SUC003,Guadalajara,Guadalajara,Yelp,Review,La cochinita pibil es espectacular,positivo,5.0,121.0,9.0,7.44,Orgánico,0.0,,,False,2025-11
DIG-00077,2025-05-24,May,Sábado,SUC003,Guadalajara,Guadalajara,Facebook,Comentario,Precios estándar para la zona,neutro,,1806.0,191.0,10.58,Orgánico,0.0,,,False,2025-05
DIG-00078,2025-04-02,April,Miércoles,SUC003,Guadalajara,Guadalajara,Yelp,Review,El personal es muy amable,positivo,5.0,297.0,27.0,9.09,Orgánico,0.0,,,False,2025-04
DIG-00079,2025-04-21,April,Lunes,SUC004,Monterrey,Monterrey,Facebook,Queja,¡Los mejores tacos de la ciudad! 🌮,positivo,,4626.0,687.0,14.85,Orgánico,0.0,,,False,2025-04
DIG-00080,2025-10-18,October,Sábado,SUC010,León,León,TikTok,Review,La cochinita pibil es espectacular,positivo,5.0,8045.0,1053.0,13.09,Orgánico,0.0,,,False,2025-10
DIG-00081,2025-07-07,July,Lunes,SUC003,Guadalajara,Guadalajara,TikTok,Compartido,El personal es muy amable,positivo,,25446.0,1713.0,6.73,Promoción 2x1 Tacos,84.2,,,False,2025-07
DIG-00082,2025-07-21,July,Lunes,SUC008,Mérida,Mérida,TripAdvisor,Review,El personal es muy amable,positivo,4.0,384.0,50.0,13.02,Orgánico,0.0,,,False,2025-07
DIG-00083,2025-05-17,May,Sábado,SUC001,Ciudad de México Centro,Ciudad de México,Google Reviews,Review,Las margaritas son las mejores 🍹,positivo,4.0,87.0,8.0,9.2,Orgánico,0.0,,,False,2025-05
DIG-00084,2025-12-24,December,Miércoles,SUC007,Cancún,Cancún,Google Reviews,Review,Servicio normal,neutro,3.0,384.0,49.0,12.76,Descuento Cumpleañeros,121.89,,,False,2025-12
DIG-00085,2025-11-02,November,Domingo,SUC005,Puebla,Puebla,Twitter/X,Comentario,El estacionamiento es un problema,negativo,,467.0,23.0,4.93,Orgánico,0.0,,,False,2025-11
DIG-00086,2025-02-23,February,Domingo,SUC007,Cancún,Cancún,Instagram,Review,¡Los mejores tacos de la ciudad! 🌮,positivo,4.0,4185.0,619.0,14.79,Combo Ejecutivo,97.0,,,True,2025-02
DIG-00087,2025-06-23,June,Lunes,SUC004,Monterrey,Monterrey,Instagram,Mención,Ambiente perfecto para celebrar,positivo,,357.0,34.0,9.52,Orgánico,0.0,,,False,2025-06
DIG-00088,2025-11-30,November,Domingo,SUC002,Ciudad de México Sur,Ciudad de México,TikTok,Comentario,Las margaritas son las mejores 🍹,positivo,,19093.0,962.0,5.04,Temporada de Pozole,132.87,,,True,2025-11
DIG-00089,2025-12-24,December,Miércoles,SUC007,Cancún,Cancún,Google Reviews,Review,"Lugar promedio, cumple",neutro,3.0,307.0,37.0,12.05,Orgánico,0.0,,,False,2025-12
DIG-00090,2025-05-07,May,Miércoles,SUC002,Ciudad de México Sur,Ciudad de México,Yelp,Review,El estacionamiento es un problema,negativo,2.0,412.0,35.0,8.5,Orgánico,0.0,True,1.0,False,2025-05
DIG-00091,2025-06-11,June,Miércoles,SUC006,Querétaro,Querétaro,Facebook,Queja,El personal es muy amable,positivo,,1098.0,64.0,5.83,Orgánico,0.0,,,False,2025-06
DIG-00092,2025-11-04,November,Martes,SUC008,Mérida,Mérida,TikTok,Pregunta,Servicio normal,neutro,,4895.0,277.0,5.66,Temporada de Pozole,478.83,True,8.0,False,2025-11
DIG-00093,2025-06-09,June,Lunes,SUC002,Ciudad de México Sur,Ciudad de México,Yelp,Review,"El mole está increíble, muy auténtico",positivo,5.0,264.0,36.0,13.64,Noche Mexicana,447.44,,,False,2025-06
DIG-00094,2025-04-30,April,Miércoles,SUC002,Ciudad de México Sur,Ciudad de México,Instagram,Compartido,"El mole está increíble, muy auténtico",positivo,,1778.0,191.0,10.74,Orgánico,0.0,,,False,2025-04
DIG-00095,2025-11-27,November,Jueves,SUC009,Tijuana,Tijuana,Twitter/X,Comentario,Excelente servicio y ambiente familiar,positivo,,210.0,29.0,13.81,Orgánico,0.0,,,True,2025-11
DIG-00096,2025-09-25,September,Jueves,SUC002,Ciudad de México Sur,Ciudad de México,Yelp,Review,"El mole está increíble, muy auténtico",positivo,4.0,388.0,54.0,13.92,Orgánico,0.0,,,False,2025-09
DIG-00097,2025-06-20,June,Viernes,SUC009,Tijuana,Tijuana,Instagram,Comentario,Servicio normal,neutro,,2976.0,360.0,12.1,Orgánico,0.0,,,False,2025-06
DIG-00098,2025-10-06,October,Lunes,SUC002,Ciudad de México Sur,Ciudad de México,Google Reviews,Review,Las margaritas son las mejores 🍹,positivo,5.0,106.0,4.0,3.77,Orgánico,0.0,,,False,2025-10
DIG-00099,2026-01-23,January,Viernes,SUC007,Cancún,Cancún,Twitter/X,Mención,¡Los mejores tacos de la ciudad! 🌮,positivo,,201.0,26.0,12.94,Orgánico,0.0,,,False,2026-01
DIG-00100,2025-05-30,May,Viernes,SUC010,León,León,Google Reviews,Review,Excelente servicio y ambiente familiar,positivo,4.0,255.0,11.0,4.31,Orgánico,0.0,,,False,2025-05
DIG-00101,2025-08-09,August,Sábado,SUC008,Mérida,Mérida,Twitter/X,Pregunta,Ambiente perfecto para celebrar,positivo,,452.0,42.0,9.29,Orgánico,0.0,False,,False,2025-08
DIG-00102,2025-08-24,August,Domingo,SUC006,Querétaro,Querétaro,Facebook,Like,El personal es muy amable,positivo,,3252.0,367.0,11.29,Orgánico,0.0,,,False,2025-08
DIG-00103,2025-08-21,August,Jueves,SUC001,Ciudad de México Centro,Ciudad de México,TikTok,Comentario,Precios elevados para la porción,negativo,,1051.0,85.0,8.09,Orgánico,0.0,,,False,2025-08
DIG-00104,2025-07-26,July,Sábado,SUC003,Guadalajara,Guadalajara,TripAdvisor,Review,Las margaritas son las mejores 🍹,positivo,5.0,218.0,9.0,4.13,Orgánico,0.0,,,False,2025-07
DIG-00105,2025-03-09,March,Domingo,SUC008,Mérida,Mérida,TikTok,Comentario,¡Los mejores tacos de la ciudad! 🌮,positivo,,19342.0,2419.0,12.51,Orgánico,0.0,,,False,2025-03
DIG-00106,2025-10-12,October,Domingo,SUC009,Tijuana,Tijuana,TikTok,Like,La cochinita pibil es espectacular,positivo,,37089.0,1825.0,4.92,Orgánico,0.0,,,False,2025-10
DIG-00107,2025-09-28,September,Domingo,SUC006,Querétaro,Querétaro,Instagram,Like,Las margaritas son las mejores 🍹,positivo,,1261.0,44.0,3.49,Combo Ejecutivo,78.65,,,True,2025-09
DIG-00108,2026-01-25,January,Domingo,SUC009,Tijuana,Tijuana,Facebook,Comentario,¡Los mejores tacos de la ciudad! 🌮,positivo,,3492.0,304.0,8.71,Orgánico,0.0,,,False,2026-01
DIG-00109,2025-11-02,November,Domingo,SUC008,Mérida,Mérida,Facebook,Compartido,"Lugar promedio, cumple",neutro,,4410.0,481.0,10.91,Orgánico,0.0,,,False,2025-11
DIG-00110,2025-02-18,February,Martes,SUC001,Ciudad de México Centro,Ciudad de México,TikTok,Mención,Precios estándar para la zona,neutro,,31888.0,2054.0,6.44,Combo Ejecutivo,210.33,,,False,2025-02
DIG-00111,2025-09-10,September,Miércoles,SUC004,Monterrey,Monterrey,Twitter/X,Pregunta,El lugar estaba muy lleno y ruidoso,negativo,,133.0,20.0,15.04,Orgánico,0.0,True,8.0,False,2025-09
DIG-00112,2025-03-18,March,Martes,SUC009,Tijuana,Tijuana,TripAdvisor,Review,"Lugar promedio, cumple",neutro,3.0,340.0,20.0,5.88,Orgánico,0.0,,,False,2025-03
DIG-00113,2025-02-11,February,Martes,SUC002,Ciudad de México Sur,Ciudad de México,Yelp,Review,La comida llegó fría 😞,negativo,1.0,460.0,24.0,5.22,Orgánico,0.0,True,2.0,False,2025-02
DIG-00114,2025-06-09,June,Lunes,SUC009,Tijuana,Tijuana,TikTok,Mención,El servicio fue lento,negativo,,34779.0,3285.0,9.45,Orgánico,0.0,,,False,2025-06
DIG-00115,2026-01-23,January,Viernes,SUC005,Puebla,Puebla,Instagram,Comentario,Precios elevados para la porción,negativo,,4765.0,477.0,10.01,Orgánico,0.0,,,False,2026-01
DIG-00116,2025-06-22,June,Domingo,SUC004,Monterrey,Monterrey,Facebook,Comentario,La cochinita pibil es espectacular,positivo,,3847.0,114.0,2.96,Orgánico,0.0,,,False,2025-06
DIG-00117,2026-01-29,January,Jueves,SUC009,Tijuana,Tijuana,TikTok,Comentario,Comida deliciosa y precios justos,positivo,,5274.0,494.0,9.37,Orgánico,0.0,,,False,2026-01
DIG-00118,2025-11-07,November,Viernes,SUC004,Monterrey,Monterrey,Instagram,Queja,Excelente servicio y ambiente familiar,positivo,,2078.0,61.0,2.94,Orgánico,0.0,,,False,2025-11
DIG-00119,2025-09-06,September,Sábado,SUC010,León,León,Instagram,Mención,"Siempre regresamos, nunca falla",positivo,,1765.0,131.0,7.42,Orgánico,0.0,,,False,2025-09
DIG-00120,2025-11-22,November,Sábado,SUC006,Querétaro,Querétaro,Google Reviews,Review,Las margaritas son las mejores 🍹,positivo,5.0,84.0,6.0,7.14,Orgánico,0.0,,,False,2025-11
DIG-00121,2025-04-14,April,Lunes,SUC006,Querétaro,Querétaro,Twitter/X,Comentario,Precios estándar para la zona,neutro,,73.0,3.0,4.11,Orgánico,0.0,,,False,2025-04
DIG-00122,2025-11-26,November,Miércoles,SUC002,Ciudad de México Sur,Ciudad de México,Instagram,Comentario,"El mole está increíble, muy auténtico",positivo,,2260.0,311.0,13.76,Orgánico,0.0,,,False,2025-11
DIG-00123,2025-07-07,July,Lunes,SUC008,Mérida,Mérida,Instagram,Review,"El mole está increíble, muy auténtico",positivo,5.0,4948.0,141.0,2.85,Noche Mexicana,379.65,,,False,2025-07
DIG-00124,2025-10-27,October,Lunes,SUC006,Querétaro,Querétaro,TikTok,Compartido,"Comida aceptable, nada extraordinario",neutro,,32301.0,2002.0,6.2,Orgánico,0.0,,,False,2025-10
DIG-00125,2025-09-11,September,Jueves,SUC008,Mérida,Mérida,TikTok,Comentario,Excelente servicio y ambiente familiar,positivo,,757.0,15.0,1.98,Temporada de Pozole,483.63,,,False,2025-09
DIG-00126,2025-12-08,December,Lunes,SUC001,Ciudad de México Centro,Ciudad de México,Facebook,Mención,"El mole está increíble, muy auténtico",positivo,,173.0,10.0,5.78,Temporada de Pozole,56.27,,,False,2025-12
DIG-00127,2025-04-07,April,Lunes,SUC002,Ciudad de México Sur,Ciudad de México,Facebook,Mención,Excelente servicio y ambiente familiar,positivo,,4786.0,512.0,10.7,Noche Mexicana,458.08,,,False,2025-04
DIG-00128,2025-08-15,August,Viernes,SUC003,Guadalajara,Guadalajara,Facebook,Like,Las margaritas son las mejores 🍹,positivo,,3516.0,426.0,12.12,Orgánico,0.0,,,False,2025-08
DIG-00129,2025-03-21,March,Viernes,SUC007,Cancún,Cancún,Instagram,Like,Esperaba mejor calidad,negativo,,3442.0,421.0,12.23,Festival del Mole,419.34,,,False,2025-03
DIG-00130,2026-01-14,January,Miércoles,SUC006,Querétaro,Querétaro,TikTok,Comentario,"Recomiendo 100%, no se arrepentirán",positivo,,10701.0,825.0,7.71,Día de la Familia,52.4,,,False,2026-01
DIG-00131,2025-07-16,July,Miércoles,SUC004,Monterrey,Monterrey,TikTok,Compartido,Las margaritas son las mejores 🍹,positivo,,1449.0,146.0,10.08,Temporada de Pozole,343.64,,,False,2025-07
DIG-00132,2025-12-02,December,Martes,SUC009,Tijuana,Tijuana,Instagram,Comentario,La comida llegó fría 😞,negativo,,2341.0,316.0,13.5,Orgánico,0.0,,,False,2025-12
DIG-00133,2025-06-25,June,Miércoles,SUC009,Tijuana,Tijuana,Facebook,Comentario,"Siempre regresamos, nunca falla",positivo,,2938.0,72.0,2.45,Noche Mexicana,183.86,,,False,2025-06
DIG-00134,2025-12-05,December,Viernes,SUC004,Monterrey,Monterrey,Twitter/X,Pregunta,"Lugar promedio, cumple",neutro,,144.0,9.0,6.25,Orgánico,0.0,False,,False,2025-12
DIG-00135,2025-11-17,November,Lunes,SUC010,León,León,Instagram,Review,¡Los mejores tacos de la ciudad! 🌮,positivo,5.0,1244.0,94.0,7.56,Promoción 2x1 Tacos,361.24,,,False,2025-11
